date,temp,rain,snow
1128,2.5,0.0,0
1129,4.1,15,1
1130,-0.1,15,1
1201,2.4,0.0,0
1202,3.7,0.0,0
1203,5.0,15,1
1204,5.5,0.0,0
1205,3.9,15,1
1206,7.1,15,1
1207,5.5,0.0,0
1208,8.7,0.0,0
1209,9.4,0.7,0
1210,6.2,0.1,0
1211,6.2,15,1
1212,6.1,15,1
1213,9.4,0.0,0
1214,4.7,0.0,0
1215,-0.7,0.0,0
1216,0.0,0.0,0
1217,-0.1,0.0,0
1218,0.8,0.0,0
1219,0.7,0.0,0
1220,2.9,1.3,1
1221,-1.9,15,1
1222,-4.2,0.0,0
1223,-3.0,0.0,0
1224,2.7,15,1
1225,9.1,0.0,0
1226,10.0,0.0,0
1227,4.1,0.0,0
1228,4.2,15,1
1229,-1.8,0.0,0
1230,-1.4,0.0,0
1231,0.6,15,1
0101,2.1,15,1
0102,-1.9,0.0,0
0103,-0.8,0.0,0
0104,0.1,0.0,0
0105,1.0,0.0,0
0106,4.2,15,1
0107,0.8,15,1
0108,0.2,0.0,0
0109,1.2,15,1
0110,3.4,15,1
0111,7.9,0.5,0
0112,11.0,2.0,0
0113,10.2,2.0,0
0114,5.6,0.0,0
0115,3.5,1.1,0
0116,0.0,0.0,0
0117,1.6,0.0,0
0118,10.2,0.0,0
0119,10.1,3.4,0
0120,7.3,0.2,1
0121,-1.5,0.0,0
0122,-1.8,0.0,0
0123,-0.9,15,1
0124,2.0,15,1
0125,5.4,15,1
0126,3.6,0.0,0
0127,5.5,0.0,0
0128,2.8,0.0,0
0129,5.9,0.0,0
0130,6.7,8.3,1
0131,4.1,18.2,1
0201,5.8,0.0,0
0202,3.4,0.0,0
0203,-1.9,0.0,0
0204,-0.8,0.0,0
0205,-2.9,0.0,0
0206,-4.7,0.0,0
0207,-3.4,0.0,0
0208,-0.2,15,1
0209,-1.1,0.0,0
0210,-1.2,0.0,0
0211,-0.9,0.0,0
0212,-1.6,0.0,0
0213,1.5,0.0,0
0214,2.9,0.0,0
0215,3.1,0.0,0
0216,1.7,0.0,0
0217,-0.4,0.0,0
0218,-0.8,0.0,0
0219,1.8,0.0,0
0220,4.5,0.0,0
0221,6.3,0.0,0
0222,6.3,0.0,0
0223,4.2,0.0,0
0224,1.4,0.0,0
0225,1.3,0.0,0
0226,2.3,0.0,0
0227,7.1,0.0,0
0228,10.3,26.7,0
0229,10.2,0.2,0
0301,9.2,0.1,0
0302,4.1,0.0,0
0303,4.5,0.6,1
0304,4.7,0.8,1
0305,5.5,0.0,0
0306,7.6,0.9,0
0307,4.4,2.4,1
0308,1.7,0.0,0
0309,3.2,0.0,0
0310,2.0,2.3,1
0311,2.1,0.0,0
0312,1.9,0.0,0
0313,1.5,0.0,0
0314,3.3,0.0,0
0315,7.8,0.0,0
0316,9.2,0.4,0
0317,10.4,24.1,0
0318,8.9,0.0,0
0319,9.6,0.2,0
0320,2.2,0.0,0
0321,4.5,0.0,0
0322,8.3,0.0,0
0323,13.6,0.2,0
0324,13.0,0.1,0
0325,9.5,2.4,0
0326,8.5,1.0,0
0327,4.9,0.0,0
0328,7.7,0.0,0
0329,12.7,2.0,0
0330,15.9,9.2,0
0331,11.3,0.0,0
0401,10.2,2.8,0
0402,10.6,0.0,0
0403,10.7,6.1,0
0404,10.8,14.6,0
0405,9.1,8.0,0
0406,10.3,0.0,0
0407,10.4,0.1,0
0408,8.2,14.6,0
0409,9.7,0.0,0
0410,10.5,0.0,0
0411,9.3,9.8,0
0412,10.9,9.8,0
0413,10.4,0.0,0
0414,9.4,0.0,0
0415,10.2,0.0,0
0416,10.6,0.0,0
0417,13.1,0.0,0
0418,15.4,0.0,0
0419,15.1,0.0,0
0420,17.0,0.0,0
0421,16.4,53.7,0
0422,14.5,91.2,0
0423,14.0,0.0,0
0424,16.9,0.0,0
0425,12.8,0.0,0
0426,10.7,22.8,0
0427,12.3,0.0,0
0428,10.8,0.0,0
0429,9.7,0.0,0
0430,13.0,0.0,0
0501,13.5,0.0,0
0502,14.1,24.6,0
0503,14.3,28.9,0
0504,14.3,0.0,0
0505,16.6,0.0,0
0506,17.4,0.0,0
0507,17.2,0.0,0
0508,17.5,0.0,0
0509,18.8,0.0,0
0510,16.3,0.6,0
0511,16.8,0.5,0
0512,14.0,0.0,0
0513,14.4,0.0,0
0514,15.1,0.0,0
0515,13.9,0.0,0
0516,14.1,10.4,0
0517,15.7,6.1,0
0518,15.3,0.0,0
0519,18.6,0.0,0
0520,17.0,0.0,0
0521,15.2,0.0,0
0522,17.4,0.0,0
0523,18.6,4.3,0
0524,16.8,0.0,0
0525,18.0,0.0,0
0526,17.9,0.0,0
0527,18.4,0.0,0
0528,17.8,6.2,0
0529,16.1,0.0,0
0530,15.4,0.0,0
0531,17.9,0.0,0
0601,18.5,0.0,0
0602,22.2,0.0,0
0603,24.0,0.0,0
0604,19.4,0.0,0
0605,19.5,0.0,0
0606,21.6,0.9,0
0607,22.7,0.0,0
0608,18.0,0.0,0
0609,17.7,0.0,0
0610,18.4,0.0,0
0611,19.2,0.0,0
0612,17.9,3.0,0
0613,18.7,0.4,0
0614,19.6,0.0,0
0615,20.0,0.0,0
0616,19.2,0.0,0
0617,20.2,33.4,0
0618,21.1,43.4,0
0619,20.1,0.0,0
0620,19.3,0.0,0
0621,19.1,1.7,0
0622,19.8,78.5,0
0623,20.4,0.4,0
0624,20.4,0.0,0
0625,20.9,69.1,0
0626,20.1,3.4,0
0627,20.7,0.0,0
0628,21.5,47.1,0
0629,19.3,1.0,0
0630,17.5,11.8,0
0701,18.0,6.7,0
0702,19.3,0.0,0
0703,18.9,0.0,0
0704,18.2,0.0,0
0705,18.5,8.2,0
0706,19.8,0.0,0
0707,19.5,0.2,0
0708,19.6,6.1,0
0709,21.1,82.0,0
0710,22.0,0.0,0
0711,22.2,0.0,0
0712,20.9,0.4,0
0713,20.8,0.8,0
0714,22.1,0.0,0
0715,20.1,17.4,0
0716,21.4,0.9,0
0717,19.8,0.0,0
0718,20.1,0.0,0
0719,21.0,0.0,0
0720,21.7,0.0,0
0721,23.9,0.0,0
0722,23.5,0.0,0
0723,24.9,0.0,0
0724,25.3,24.3,0
0725,25.2,11.7,0
0726,24.6,111.6,0
0727,25.9,6.4,0
0728,26.1,0.0,0
0729,26.7,4.5,0
0730,26.9,0.0,0
0731,26.8,0.2,0
0801,27.3,0.0,0
0802,26.8,0.0,0
0803,25.8,0.0,0
0804,26.4,0.0,0
0805,26.8,0.0,0
0806,27.5,0.0,0
0807,24.7,0.2,0
0808,23.7,0.0,0
0809,23.8,0.2,0
0810,24.3,136.9,0
0811,23.8,12.1,0
0812,25.5,82.7,0
0813,26.3,0.0,0
0814,26.1,0.0,0
0815,25.9,0.0,0
0816,25.8,0.0,0
0817,26.3,0.0,0
0818,26.5,0.0,0
0819,26.2,3.5,0
0820,25.7,0.0,0
0821,26.5,0.0,0
0822,27.0,0.4,0
0823,23.0,2.3,0
0824,22.8,10.8,0
0825,25.4,28.6,0
0826,25.5,0.4,0
0827,24.8,7.2,0
0828,23.6,0.0,0
0829,22.6,0.0,0
0830,22.1,0.0,0
0831,22.5,0.0,0
0901,22.1,0.0,0
0902,22.4,0.0,0
0903,23.2,0.0,0
0904,23.4,0.0,0
0905,22.5,0.0,0
0906,22.7,0.0,0
0907,22.0,0.0,0
0908,22.5,0.0,0
0909,22.5,0.0,0
0910,23.0,0.0,0
0911,23.2,1.6,0
0912,22.7,4.3,0
0913,22.4,0.0,0
0914,19.7,0.0,0
0915,20.7,0.0,0
0916,19.5,2.0,0
0917,21.1,0.0,0
0918,21.3,0.0,0
0919,22.8,35.3,0
0920,20.9,0.0,0
0921,21.9,0.0,0
0922,21.9,0.0,0
0923,18.2,0.0,0
0924,18.7,0.0,0
0925,19.1,0.0,0
0926,19.7,0.0,0
0927,21.6,0.0,0
0928,22.1,0.0,0
0929,20.6,6.8,0
0930,19.1,0.0,0
1001,17.1,0.0,0
1002,15.7,0.0,0
1003,16.9,0.0,0
1004,17.2,0.0,0
1005,19.8,0.0,0
1006,18.4,22.9,0
1007,18.5,0.0,0
1008,16.0,0.0,0
1009,15.3,0.0,0
1010,16.1,0.0,0
1011,16.5,0.0,0
1012,15.3,0.0,0
1013,16.5,0.0,0
1014,17.7,0.4,0
1015,15.8,14.0,0
1016,18.2,0.0,0
1017,16.2,0.0,0
1018,16.7,0.0,0
1019,18.1,0.0,0
1020,16.8,0.0,0
1021,18.7,0.0,0
1022,17.4,0.0,0
1023,18.8,0.0,0
1024,18.6,0.0,0
1025,19.7,0.4,0
1026,17.2,0.1,0
1027,14.7,3.1,0
1028,14.2,0.0,0
1029,12.2,0.0,0
1030,12.5,0.3,0
1031,12.3,7.6,0
